"Did u find a lower price?","Did u find a lower price?"
"Did u find this product at a lower price?","Did u find this product at a lower price? Write us!"
"URL:","URL:"
"Price:","Price:"
"Shipping costs:","Shipping costs:"
"Price Date:","Price Date:"
"Send feedback","Send feedback"
"Everything ok","Everything ok"
"Error sending the email","Error sending the email"
"Online","Online"
"Offline","Offline"
"Report sent successfully","Report sent successfully"
"Error sending the report","Error sending the report"
"Type","Type"
"Shop name:","Shop name:"
"City:","City:"
"Province:","Province:"
